Year,RGDP,GDP,wages,labor_force,employment,revenue,social_security,medicare,medicaid_and_related,other_mandatory,discretionary,total_non_interest_spending,interest_spending,total_spending,primary_deficit,deficit,debt,medicare_offsetting
1993,10,6.9,3.1,129,120,,,,,,,,,,,,,
1994,10.4,7.3,3.2,131,123,,,,,,,,,,,,,
1995,10.6,7.6,3.4,132,125,,,,,,,,,,,,,
1996,11,8.1,3.6,134,127,,,,,,,,,,,,,
1997,11.5,8.6,3.9,136,130,,,,,,,,,,,,,
1998,12,9.1,4.2,138,131,,,,,,,,,,,,,
1999,12.6,9.6,4.5,139,134,,,,,,,,,,,,,
2000,13.1,10.3,4.8,143,137,,,,,,,,,,,,,
2001,13.3,10.6,5,144,137,,,,,,,,,,,,,
2002,13.5,10.9,5,145,136,,,,,,,,,,,,,
2003,13.9,11.5,5.1,146,138,,,,,,,,,,,,,
2004,14.4,12.2,5.4,147,139,,,,,,,,,,,,,
2005,14.9,13,5.7,149,142,,,,,,,,,,,,,
2006,15.3,13.8,6.1,151,144,,,,,,,,,,,,,
2007,15.6,14.5,6.4,153,146,,,,,,,,,,,,,
2008,15.6,14.8,6.5,154,145,,,,,,,,,,,,,
2009,15.2,14.5,6.2,154,140,,,,,,,,,,,,,
2010,15.6,15,6.4,154,139,,,,,,,,,,,,,
2011,15.9,15.6,6.6,154,140,,,,,,,,,,,,,
2012,16.3,16.3,6.9,155,142,,,,,,,,,,,,,
2013,16.6,16.8,7.1,155,144,,,,,,,,,,,,,
2014,16.9,17.6,7.5,156,146,,,,,,,,,,,,,
2015,17.4,18.2,7.9,157,149,,,,,,,,,,,,,
2016,17.7,18.7,8.1,159,151,,,,,,,,,,,,,
2017,18.1,19.5,8.5,160,153,,,,,,,,,,,,,
2018,18.6,20.5,8.9,162,156,,,,,,,,,,,,,
2019,19,21.4,9.3,164,158,,,,,,,,,,,,,
2020,18.5,21.1,9.5,161,148,,,,,,,,,,,,,
2021,19.6,23.3,10.3,161,153,,,,,,,,,,,,,
2022,20,25.4,11.2,164,158,,,,,,,,,,,,,
2023,20,26.4,11.7,165,158,,,,,,,,,,,,,
2024,20.4,27.6,12.3,166,158,4935.1,1452.5,896.6,677.6,881.4,1740.5,5648.6,870.1,6518.7,-713.7,-1583.8,27898.2,-188.5
2025,21,28.9,12.9,167,159,4996.1,1545.3,940.3,678.5,897,1756.6,5817.6,950.8,6768.5,-821.5,-1772.4,29751.4,-212.1
2026,21.5,30.3,13.4,168,160,5350.6,1640.2,1001.1,689.7,915.1,1791.5,6037.9,1004.8,7042.7,-687.2,-1692,31517.2,-221.5
2027,22,31.6,13.9,169,161,5682.7,1734.2,1073.7,728.8,912,1825.3,6274,1049.2,7323.2,-591.3,-1640.5,33235.2,-241
2028,22.4,32.8,14.5,170,162,5870.1,1831.6,1145.9,769.2,884.6,1860,6491.6,1105.6,7597.3,-621.5,-1727.2,35143.3,-261.4
2029,22.8,34.1,15,170,163,6146.5,1930.5,1225.5,809.5,953.6,1898.9,6817.9,1169.8,7987.3,-671.3,-1840.8,36918.5,-281.9
2030,23.2,35.5,15.6,171,163,6414.2,2032.5,1310.4,851.5,958.7,1936.7,7089.8,1241.1,8330.9,-675.6,-1916.7,38870.8,-307.1
2031,23.7,36.8,16.2,172,164,6655.9,2137.2,1400.1,893.6,975.7,1974.9,7381.5,1328.3,8709.9,-725.7,-2054,40947.3,-332.6
2032,24.1,38.2,16.8,172,165,6889.8,2244.7,1498,942.1,996.9,2015.8,7697.6,1430.5,9128,-807.7,-2238.2,43203.5,-360.6
2033,24.5,39.6,17.4,173,165,7168.2,2355.1,1615.9,990.2,1022.7,2059.5,8043.4,1527.3,9570.6,-875.1,-2402.4,45741.4,-392.6
2034,24.9,41.1,18,174,166,7474.6,2470.4,1739.5,1041.6,1045.7,2105.6,8403.3,1628.3,10031.6,-928.7,-2557,48302.8,-421.9
2035,25.3,42.6,18.6,174,166,7772.4,2571.1,1857.8,1097.1,1069.4,2154.8,8749.7,1733.8,10483.9,-977.3,-2711.1,51000,-451.3
2036,25.7,44.2,19.3,175,167,8091.2,2675.3,1978.3,1154.4,1097.5,2212.9,9118.7,1840.2,10958.9,-1027.5,-2867.7,53858.9,-487.5
2037,26.2,45.8,20,175,167,8418,2774.2,2107.1,1214.3,1126.8,2280.1,9502.9,1956.8,11459.7,-1084.9,-3041.3,56895.8,-523.4
2038,26.6,47.4,20.7,176,168,8750.6,2872,2237.5,1276.3,1157.1,2357.1,9900,2079.2,11979.2,-1149.4,-3228.6,60124.2,-560.7
2039,27,49.2,21.4,176,169,9099.6,2981.5,2369.6,1339.9,1187.3,2444.1,10322.4,2206.5,12528.9,-1222.8,-3429.3,63553.7,-598.9
2040,27.4,50.9,22.2,177,169,9456.3,3088.6,2504.6,1405.6,1218.3,2533.7,10750.8,2344.9,13095.7,-1294.6,-3639.5,67193.2,-638.5
2041,27.9,52.8,22.9,177,169,9820.3,3195.1,2642.5,1472.3,1249.8,2625.9,11185.7,2494.7,13680.4,-1365.3,-3860.1,71053.5,-678.4
2042,28.3,54.7,23.7,177,170,10196.3,3314.7,2781.1,1541.8,1281.6,2720.9,11639.5,2656.3,14295.7,-1443.7,-4100,75153.2,-718.5
2043,28.7,56.6,24.5,178,170,10591.5,3438.9,2925.3,1611.8,1314.1,2819.1,12109.9,2826.6,14936.5,-1518.3,-4345,79498.4,-758.9
2044,29.2,58.6,25.4,178,171,10988.4,3554,3065.5,1686.1,1347.7,2920.8,12573.5,3002.7,15576.2,-1585.1,-4587.8,84085.9,-803.6
2045,29.6,60.7,26.3,178,171,11408,3679.6,3212.5,1759.3,1382,3026.1,13059.5,3189.6,16249.2,-1651.5,-4841.1,88926.5,-847.4
2046,30,62.9,27.2,179,171,11843.7,3814.2,3363.7,1836.2,1417.1,3135.2,13565.7,3389.3,16955.6,-1721.9,-5111.3,94038,-893.4
2047,30.5,65.1,28.1,179,172,12296.3,3957.1,3520.2,1915.7,1452.9,3248.3,14094.9,3604.7,17699,-1798,-5402.7,99441.3,-940.2
2048,31,67.4,29.1,180,172,12773.4,4102.8,3682.5,1996.6,1490.2,3365.6,14638.4,3833.4,18471.8,-1865,-5698.4,105139.2,-989.4
2049,31.4,69.8,30.1,180,173,13251.3,4253.2,3845.5,2080.2,1529.1,3487.2,15195.2,4075.4,19270.6,-1943.8,-6019.2,111158.9,-1037.9
2050,31.9,72.3,31.2,181,173,13759.3,4406.2,4008.3,2165.8,1568.8,3613.3,15762.4,4334.5,20096.1,-2003,-6336.8,117495.9,-1085.8
2051,32.4,74.9,32.2,181,173,14291.3,4575.5,4172.3,2253.2,1609.5,3743.9,16354.4,4612.3,20966.7,-2062.4,-6674.7,124170.8,-1138.1
2052,32.9,77.5,33.4,181,174,14847.4,4751.7,4349.1,2342.5,1650.9,3879,16972.3,4905.7,21878.1,-2124.9,-7030.7,131201,-1187.9
2053,33.3,80.2,34.5,182,174,15420.8,4929.7,4515.8,2435.2,1693.1,4018.9,17592.7,5214.3,22807,-2171.9,-7386.3,138588,-1243.9
2054,33.82860233,83.00033253,35.69609057,181.9366191,174.5336728,16024.1,5114.9,4688.8,2532.3,1737.1,4163.7,18236.8,5536.8,23773.7,-2213.5,-7750.4,146337.8,-1303.2
2055,34.32240922,85.90562055,36.92423039,182.2728585,174.8770197,16651.06814,5307.183744,4868.315708,2633.311693,1782.180404,4313.732825,18904.48748,5879.338602,24781.26255,-2255.945728,-8132.48847,154520.9005,-1365.374711
2056,34.82342436,88.91260332,38.19462492,182.6097193,175.221042,17302.53684,5506.657392,5054.745092,2738.327067,1828.447875,4469.154349,19596.59703,6243.014806,25831.56015,-2299.157808,-8533.420701,163161.5997,-1430.472983
2057,35.33175297,92.0248405,39.50872793,182.9472026,175.5657412,17979.49408,5713.628376,5248.313683,2847.53041,1875.916503,4630.17563,20314.04529,6629.186803,26926.37224,-2343.197604,-8954.118918,172285.4808,-1498.675007
2058,35.84750182,95.24601634,40.86804323,183.2853097,175.9111184,18682.93709,5928.378487,5449.294873,2961.088737,1924.617473,4796.998422,21057.75995,7039.246107,28067.58545,-2388.080972,-9395.557586,181919.5628,-1570.128765
2059,36.37077922,98.57994407,42.27412638,183.6240416,176.257175,19413.90213,6151.200108,5657.972524,3079.175722,1974.582775,4969.831752,21828.70265,7474.670306,29257.16639,-2433.82407,-9858.75921,192092.3759,-1644.989291
2060,36.90169507,102.0305704,43.72858645,183.9633995,176.6039124,20173.46599,6382.396612,5874.641368,3201.971967,2025.845235,5148.892176,22627.87022,7937.028389,30497.16502,-2480.443365,-10344.79671,202834.0454,-1723.419014
2061,37.44036087,105.6019801,45.23308786,184.3033846,176.951332,20962.74759,6622.282773,6099.607421,3329.665276,2078.438528,5334.404052,23456.296,8427.986395,31789.71819,-2527.955641,-10854.79588,214176.3815,-1805.588106
2062,37.98688974,109.298401,46.78935231,184.643998,177.299435,21782.90962,6871.185198,6333.188421,3462.45094,2132.397204,5526.599824,24315.05117,8949.31342,33137.05328,-2576.378003,-11389.93805,226152.973,-1891.674851
2063,38.54139647,113.124209,48.39916072,184.985241,177.6482227,22635.16027,7129.442768,6575.714274,3600.532042,2187.75671,5725.720309,25205.2461,9502.88799,34541.49212,-2625.727883,-11951.46277,238799.287,-1981.866037
2064,39.10399751,117.083933,50.06435531,185.3271145,177.9976967,23520.75501,7397.407103,6827.527516,3744.11976,2244.553413,5932.014999,26128.03183,10090.70483,36005.45491,-2676.023048,-12540.67069,252152.774,-2076.357354
2065,39.67481102,121.1822605,51.78684166,185.6696199,178.3478581,24440.99842,7675.443035,7088.983803,3893.433697,2302.824624,6145.742379,27084.60154,10714.88205,37531.46445,-2727.281605,-13158.9266,266252.9784,-2175.353823
2066,40.25395687,125.4240432,53.56859091,186.0127583,178.6987083,25397.24611,7963.929113,7360.45241,4048.702211,2362.608623,6367.170245,28076.19208,11377.66878,39122.15044,-2779.522006,-13807.66257,281141.6564,-2279.070242
2067,40.8415567,129.8143023,55.41164204,186.3565309,179.0502488,26390.90674,8263.258112,7642.316753,4210.162769,2423.944684,6596.576039,29104.08561,12081.45329,40780.25404,-2832.763059,-14488.38127,296862.8986,-2387.731647
2068,41.43773391,134.3582352,57.31810416,186.7009387,179.4024808,27423.44408,8573.837568,7934.974931,4378.062306,2486.873101,6834.247204,30169.61121,12828.77154,42508.63261,-2887.023932,-15202.65945,313463.2615,-2501.573805
2069,42.04261371,139.0612208,59.29015895,187.0459831,179.7554058,28496.37917,8896.090337,8238.840287,4552.657608,2551.435212,7080.481536,31274.14662,13622.31641,44310.26458,-2942.324158,-15952.15159,330991.905,-2620.843724
2070,42.65632313,143.9288266,61.33006316,187.3916652,180.109025,29611.29258,9230.455168,8554.341995,4734.215697,2617.67343,7335.587561,32419.12001,14464.9473,46188.25463,-2998.683646,-16738.59374,349500.7378,-2745.80019
2071,43.27899107,148.9668147,63.44015119,187.7379861,180.4633399,30769.82667,9577.387299,8881.925661,4923.014247,2685.63127,7599.884922,33606.01187,15359.70051,48145.83904,-3056.122686,-17563.80754,369044.5715,-2876.714324
2072,43.91074828,154.1811493,65.62283772,188.0849471,180.8183518,31973.68812,9937.35908,9222.053958,5119.342005,2755.353374,7873.704778,34836.35686,16309.80017,50186.39121,-3114.661956,-18429.70444,389681.2824,-3013.870175
2073,44.55172746,159.5780029,67.88062056,188.4325493,181.174062,33224.65032,10310.86061,9575.207275,5323.499232,2826.885545,8157.390219,36111.74583,17318.66981,52313.42757,-3174.322532,-19338.29011,411471.9836,-3157.565337
2074,45.20206322,165.1637644,70.21608341,188.7807938,181.5304721,34524.5561,10698.40042,9941.884397,5535.798164,2900.274774,8451.296698,37433.82789,18389.94475,54530.61353,-3235.125891,-20291.66912,434481.2054,-3308.111591
2075,45.86189213,170.9450461,72.6318989,189.129682,181.8875833,35875.32035,11100.50615,10322.60321,5756.563489,2975.569272,8755.792472,38804.31252,19527.48517,56841.76989,-3297.093924,-21292.04978,458777.0866,-3465.835581
2076,46.53135278,176.9286919,75.13083159,189.479215,182.245397,37278.9329,11517.72526,10717.90144,5986.132843,3052.818503,9071.259069,40224.97176,20735.39003,59250.87938,-3360.248938,-22341.74928,484431.5762,-3631.079529
2077,47.21058575,183.1217853,77.71574117,189.8293939,182.6039146,38737.46143,11950.62579,11128.33738,6224.857328,3132.073214,9398.091761,41697.64256,22018.01184,61762.0935,-3424.613672,-23443.19903,511520.6468,-3804.20197
2078,47.89973371,189.5316576,80.38958571,190.1802201,182.9631374,40253.0545,12399.79715,11554.49074,6473.102046,3213.385468,9736.700064,43224.2291,23379.97235,64379.73974,-3490.211295,-24598.95032,540124.5189,-3985.578535
2079,48.59894138,196.1658967,83.15542506,190.5316945,183.323067,41827.94476,12865.85088,11996.9634,6731.246659,3296.808684,10087.50825,44806.70529,24826.17917,67108.32897,-3557.065425,-25811.68024,570327.8993,-4175.602763
2080,49.30835561,203.0323563,86.01642434,190.8838186,183.6837046,43464.45219,13349.42151,12456.38029,6999.685972,3382.397662,10450.95586,46447.1173,26361.84351,69952.56327,-3625.20013,-27084.19782,602220.2313,-4374.686957
2081,50.02812538,210.1391648,88.97585756,191.2365934,184.0450517,45164.98754,13851.16743,12933.3903,7278.830533,3470.20863,10827.4983,48147.5862,27992.4989,72917.34399,-3694.639937,-28419.4506,635895.96,-4583.263078
2082,50.75840186,217.4947353,92.0371114,191.5900202,184.4071096,46932.0559,14371.77178,13428.66713,7569.107264,3560.299273,11217.60737,49910.31072,29724.02117,76007.78022,-3765.409847,-29820.53144,671454.8115,-4801.783682
2083,51.49933842,225.1077753,95.20368904,191.9441001,184.7698798,48768.26034,14911.94334,13942.91031,7870.960109,3652.728773,11621.77186,51737.57011,31562.64962,79229.19758,-3837.535337,-31290.68565,709002.0889,-5030.722902
2084,52.25109066,232.987297,98.47921418,192.2988345,185.1333636,50676.30581,15472.41757,14476.84614,8184.85072,3747.557851,12040.49819,53631.72703,33515.00946,82587.1474,-3911.042372,-32833.31857,748648.9833,-5270.577474
2085,53.01381647,241.1426282,101.8674352,192.6542244,185.4975625,52659.00305,16053.95756,15031.22874,8511.259157,3844.848801,12474.31101,55595.23067,35588.13575,86087.41631,-3985.957417,-34452.00339,790512.904,-5521.867822
2086,53.78767604,249.5834231,105.3722295,193.0102711,185.8624778,54719.27281,16657.35508,15606.8411,8850.684628,3944.665537,12923.75387,57630.61986,37789.4987,89736.03618,-4062.307441,-36150.48949,834717.8255,-5785.139179
2087,54.57283188,258.319674,108.9976078,193.3669759,186.228111,56860.15009,17283.43165,16204.49621,9203.646244,4047.073631,13389.38992,59740.5264,40127.03058,93539.29452,-4140.11993,-37932.71106,881394.6549,-6060.962776
2088,55.36944888,267.3617228,112.7477188,193.7243398,186.5944635,59084.78863,17933.03967,16825.03819,9570.683823,4152.140359,13871.8026,61927.67844,42609.15436,97503.74534,-4219.422899,-39802.79628,930681.6195,-6349.937077
2089,56.17769437,276.7202733,116.6268541,194.0823642,186.9615367,61396.46557,18607.06361,17469.34347,9952.358708,4259.93474,14371.59635,64194.90399,45244.81401,101636.2204,-4300.244896,-41765.07683,982724.6763,-6652.689082
2090,56.99773806,286.4064043,120.6394527,194.4410503,187.329332,63798.58627,19306.42112,18138.32205,10349.25463,4370.527589,14889.39741,66545.13461,48043.50675,105943.8411,-4382.615018,-43824.09794,1037677.944,-6969.875683
2091,57.8297522,296.4315822,124.7901066,194.8003993,187.6978508,66294.68932,20032.06441,18832.91879,10761.97859,4483.991557,15425.85456,68981.40921,51015.31724,110434.0305,-4466.562919,-45984.62893,1095704.159,-7302.185092
2092,58.67391151,306.8076746,129.0835656,195.1604124,188.0670946,68888.45174,20784.98143,19554.11471,11191.16182,4600.40118,15981.63999,71506.8779,54170.95399,115114.5264,-4552.118822,-48251.67425,1156975.16,-7650.338333
2093,59.53039328,317.5469649,133.5247429,195.5210908,188.4370648,71583.69445,21566.19728,20302.92842,11637.46069,4719.832933,16557.45007,74124.80618,57521.78786,119993.3944,-4639.313527,-50630.48505,1221672.391,-8015.090808
2094,60.3993774,328.662166,138.1187209,195.8824359,188.8077628,74384.38782,22376.7756,21080.41753,12101.55777,4842.365272,17154.00629,76838.57907,61079.8931,125079.0423,-4728.178424,-53126.57138,1289987.445,-8397.233935
2095,61.28104634,340.1664362,142.8707567,196.2444487,189.1791901,77294.65759,23217.81998,21887.68015,12584.16286,4968.078694,17772.05611,79651.70551,64858.09081,130380.2338,-4818.745507,-55745.71494,1362122.629,-8797.596864
2096,62.1755853,352.0733942,147.7862885,196.6071305,189.551348,80318.79091,24090.47551,22725.85642,13086.01403,5097.055781,18412.37394,82567.82293,68869.99519,135906.1042,-4911.04738,-58493.98246,1438291.562,-9217.048278
2097,63.08318212,364.3971353,152.8709413,196.9704827,189.924238,83461.24265,24995.93032,23596.13018,13607.87882,5229.381263,19075.76209,85590.70191,73130.06254,141666.1762,-5005.117272,-61377.73974,1518719.807,-9656.498278
2098,64.00402742,377.1522484,158.1305338,197.3345063,190.2978616,86726.642,25935.41718,24499.73058,14150.55536,5365.142069,19763.05177,88724.2511,77653.6434,147670.3757,-5100.989049,-64403.66646,1603645.542,-10116.90035
2099,64.93831459,390.353833,163.5710849,197.6992027,190.6722202,90119.79924,26910.21522,25437.93384,14714.87361,5504.427382,20475.10413,91972.52221,82457.03783,153929.0496,-5198.697227,-67578.77157,1693320.265,-10599.25346
2100,65.88623985,404.017517,169.1988206,198.0645731,191.0473153,93645.71288,27921.65161,26412.06506,15301.69664,5647.328704,21212.81136,95339.71532,87557.55416,160452.9832,-5298.27698,-70910.40958,1788009.534,-11104.60417
2101,66.84800228,418.1594754,175.0201811,198.4306188,191.4231482,97309.57697,28971.10345,27423.50009,15911.92193,5793.93991,21977.09779,98830.18427,92973.57135,167253.419,-5399.764159,-74406.29756,1887993.76,-11634.04897
2102,67.82380386,432.7964494,181.0418281,198.797341,191.7997205,101116.7888,30059.99955,28473.66744,16546.48275,5944.357313,22768.92106,102448.4423,98724.60524,174342.0758,-5503.195299,-78074.53306,1993569.034,-12188.73662
2103,68.81384953,447.9457663,187.2706524,199.1647409,192.1770336,105072.9568,31189.82246,29564.05036,17206.34959,6098.679726,23589.27331,106199.1678,104831.3788,181731.1692,-5608.607638,-81923.61282,2105048.002,-12769.87064
2104,69.81834721,463.6253597,193.7137823,199.5328197,192.555089,109183.9088,32362.11043,30696.18887,17892.53165,6257.008528,24439.18242,110087.2107,111315.897,189433.4326,-5716.039123,-85962.45247,2222760.795,-13378.71194
2105,70.83750786,479.8537911,200.3785909,199.9015789,192.933888,113455.7007,33578.45954,31871.68198,18606.07836,6419.44773,25319.71331,114117.5981,118201.5257,197462.1389,-5825.528432,-90200.40718,2347056.003,-14016.58154
2106,71.87154552,496.6502716,207.2727052,200.2710195,193.3134323,117894.6254,34840.52586,33092.18994,19348.08101,6586.104041,26231.96926,118295.5415,125513.0764,205831.1238,-5937.114981,-94647.29335,2478301.712,-14684.86346
2107,72.92067736,514.0346849,214.4040145,200.641143,193.6937232,122507.2219,36150.02768,34359.43655,20119.67443,6757.086944,27177.09331,122626.443,133276.8952,214554.8091,-6050.838943,-99313.41131,2616886.588,-15385.0077
2108,73.98512372,532.0276105,221.7806797,201.0119504,194.0747622,127300.285,37508.74791,35675.21165,20922.03866,6932.508762,28156.26969,127115.9025,141520.9577,223648.228,-6166.74126,-104209.5692,2763221.032,-16118.53338
2109,75.06510813,550.6503484,229.4111424,201.3834431,194.4565508,132280.8755,38918.53644,37041.37361,21756.40085,7112.484733,29170.72528,131769.725,150274.9704,233127.0508,-6284.863656,-109347.108,2917738.394,-16887.03207
2110,76.16085742,569.9249442,237.3041344,201.7556224,194.8390905,137456.3302,40381.31272,38459.85197,22624.03706,7297.13309,30221.73116,136593.9279,159570.477,243007.6121,-6405.248657,-114737.9278,3080896.258,-17692.1712
2111,77.27260172,589.874215,245.4686884,202.1284896,195.2223827,142834.2733,41899.0683,39932.65015,23526.27423,7486.575132,31310.60424,141594.749,169440.9726,253306.9385,-6527.939603,-120394.5154,3253177.794,-18535.69771
2112,78.40057449,610.5217767,253.9141475,202.5020458,195.606429,148422.627,43473.86963,41461.8483,24464.49225,7680.935309,32438.70884,146778.6545,179922.0239,264042.7785,-6652.980664,-126329.9732,3435093.191,-19419.44185
2113,79.54501265,631.8920718,262.6501764,202.8762924,195.9912307,154229.6235,45107.8608,43049.60622,25440.12601,7880.341302,33607.45845,152152.3472,191051.398,275233.6327,-6780.416855,-132558.0494,3627181.168,-20345.32109
2114,80.70615654,654.0103985,271.6867722,203.2512307,196.3767895,160263.8173,46803.2665,44698.16643,26454.66764,8084.924106,34818.3175,157722.7755,202869.1979,286898.7859,-6910.294055,-139093.1702,3830010.569,-21315.34437
2115,81.88425001,676.9029402,281.034276,203.6268619,196.7631067,166534.0974,48562.39502,46409.85732,27509.66877,8294.818117,36072.80317,163497.1419,215418.0074,299058.3402,-7042.65902,-145950.4729,4044182.047,-22331.61636
2116,83.07954048,700.596797,290.7033849,204.0031872,197.1501839,173049.7005,50387.64144,48187.09643,28606.7429,8510.16122,37372.48729,169482.9128,228743.0442,311733.2496,-7177.559404,-153145.841,4270329.841,-23396.34213
2117,84.292279,725.1200178,300.7051638,204.3802081,197.5380225,179820.2249,52281.49082,50032.39391,29747.56789,8731.09488,38718.99835,175687.828,242892.3232,324945.3563,-7315.04377,-160695.9414,4509123.66,-24511.83184
2118,85.52272024,750.501633,311.0510583,204.7579258,197.9266242,186855.6443,54246.52166,51948.35601,30933.88851,8957.764234,40114.02349,182119.9104,257916.8292,338717.4281,-7455.161616,-168618.2621,4761270.661,-25680.50582
