Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.01,16.132365088815366,53.13325289566003,2.250002685543146
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.02,8.905579372896321,53.13325289566003,1.429929528334685
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.03,5.206490190103978,53.13325289566003,0.9335266180465828
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.035,4.062189212826809,53.13325289566003,0.7616058468759459
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.04,3.209095997224388,53.13325289566003,0.6251924591703689
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.05,2.071428449489093,53.13325289566003,0.42876552389362504
Brain Aging,40,10,20,0.1,0.35,0.0,6.554780584411182,22.748547133965022,0.2681113521561566,0.2681277005081558,201.28990003299344,507.8227543696523,0.06,1.3895795263180069,53.13325289566003,0.3005382329134249
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.01,19.517225359078893,107.50493501922953,8.800142312662256
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.02,8.617213820506791,107.50493501922953,5.166387335730232
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.03,3.887892596688369,107.50493501922953,3.110782037635648
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.035,2.630911413260641,107.50493501922953,2.437213641707778
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.04,1.7879499419269755,107.50493501922953,1.9218392794932326
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.05,0.8336512701396803,107.50493501922953,1.218207762318887
Ovarian Aging,40,10,20,0.01,0.02,0.5,1.1848368435659982,40.584377981193924,0.02673193995166228,0.39136761007886595,-6.948330234906663,-60.69997794324133,0.06,0.39009270712273353,107.50493501922953,0.791911502241673
