Q1. What are your timelines for longevity drugs? By when do you believe we'll be able to slow overall biological aging by* 5 years*?,Q2. By when do you believe we'll be able to slow overall biological aging by* 30 years*?,Q3. Is there a ceiling to how much we can extend healthy lifespan?,Q4. How much *funding* will it take to engineer a future where biological aging is reversible by 5 years?,"Q5. In your view, how will biological aging most likely be treated?",Q6. Do you have any moral concerns about longevity research? ,Q7. (*Optional*) What's one R&D area in aging biology you believe is underfunded but could yield extraordinary socio-economic returns if better supported by public/philanthropic funds?
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,OSK
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,cognitive decline in healthy aging
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,everything
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~20-40 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,
This will likely be possible in ~10-20 years.,This will likely be possible in ~20-40 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",Most of human aging will be managed via intracellular/epigenetic therapeutics.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,Media for people like Jacob Kimmel/etc. Get him and other top voices on the podcasts/tv shows/etc. so people start hearing about this stuff.
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,gene therapies still underfunded
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,No ceiling.,It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,every approach in aging bio is underfunded relative to single diseases
This will likely be possible in ~10-20 years.,This will likely be possible in ~20-40 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,"Longevity drugs are only ethical if everyone, everywhere has equal access to them.","Better diagnostic biomarkers (for both disease and aging) so we stop wasting years and countless dollars treating the wrong disease, or treating something as a disease when it is just a manifestation of aging."
